time,lignite,hardcoal
12/01/2015,11943010.000,8711196.000
01/01/2016,13107066.000,10729424.000
02/01/2016,11790946.000,8834216.000
03/01/2016,12516654.000,10494627.000
04/01/2016,11966025.000,8847410.000
05/01/2016,11066601.000,7362922.000
06/01/2016,10750255.000,8873075.000
07/01/2016,11827986.000,7539519.000
08/01/2016,11706323.000,6774923.000
09/01/2016,12233999.000,9211778.000
10/01/2016,13043375.000,9641925.000
11/01/2016,12902564.000,10169848.000
12/01/2016,12339063.000,10353701.000
01/01/2017,12957307.000,13116332.000
02/01/2017,11657882.000,9671370.000
03/01/2017,12860804.000,8177887.000
04/01/2017,12102087.000,6486376.000
05/01/2017,12214443.000,7134977.000
06/01/2017,11328726.000,5164094.000
07/01/2017,11650974.000,5889394.000
08/01/2017,12508356.000,5594947.000
09/01/2017,11687753.000,7588939.000
10/01/2017,11537359.000,5634323.000
11/01/2017,12478979.000,8392865.000
12/01/2017,11198250.000,6609725.000
01/01/2018,12243734.000,6004613.000
02/01/2018,12379056.000,9050204.000
03/01/2018,12473917.000,8852037.000
04/01/2018,11312908.000,4964599.000
05/01/2018,11201559.000,4384936.000
06/01/2018,12126002.000,4749746.000
07/01/2018,12693286.000,6594378.000
08/01/2018,12122890.000,6271698.000
09/01/2018,11568432.000,6342234.000
10/01/2018,11486204.000,7440242.000
11/01/2018,11698217.000,8332160.000
12/01/2018,9987599.000,6348956.000
01/01/2019,10738973.000,8579679.000
02/01/2019,10615022.000,6385061.000
03/01/2019,8986877.000,3606602.000
04/01/2019,9764540.000,4031836.000
05/01/2019,9298153.000,4010783.000
06/01/2019,7509734.000,2835965.000
07/01/2019,8733056.000,3515683.000
08/01/2019,8422259.000,3176139.000
