Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,2.472656,2.902344,2.382813,2.832031,2.415894,297006400
1998-04-01,2.835938,3.062500,2.656250,3.007813,2.565846,330811200
1998-05-01,3.015625,3.117188,2.781250,3.000000,2.559181,233537600
1998-06-01,2.976563,3.421875,2.910156,3.339844,2.849089,362950400
1998-07-01,3.351563,3.746094,2.601563,2.617188,2.232619,594307200
1998-08-01,2.636719,2.703125,1.929688,1.972656,1.682795,652120000
1998-09-01,1.992188,2.640625,1.796875,2.261719,1.929383,685185600
1998-10-01,2.218750,2.765625,1.968750,2.710938,2.312593,599696000
1998-11-01,2.726563,3.078125,2.562500,2.882813,2.459213,458193600
1998-12-01,2.941406,3.515625,2.941406,3.507813,2.992376,353345600
1999-01-01,3.476563,3.500000,2.929688,3.253906,2.775779,477593600
1999-02-01,3.257813,3.386719,2.898438,3.304688,2.819099,325420800
1999-03-01,3.335938,3.984375,3.257813,3.507813,2.992376,398756800
1999-04-01,3.531250,4.875000,3.531250,4.617188,3.938740,294196800
1999-05-01,4.687500,5.125000,4.195313,4.609375,3.932076,266986400
1999-06-01,4.609375,4.812500,4.179688,4.695313,4.005386,297904000
1999-07-01,3.033203,3.546875,2.898438,2.906250,2.479208,1262235200
1999-08-01,2.937500,3.031250,2.484375,2.859375,2.439219,484346400
1999-09-01,2.867188,3.320313,2.554688,3.097656,2.642488,414877600
1999-10-01,3.093750,3.453125,2.671875,3.398438,2.899073,428342400
1999-11-01,3.359375,3.882813,3.234375,3.320313,2.832427,414032000
1999-12-01,3.320313,3.640625,2.968750,3.031250,2.585839,345246400
2000-01-01,2.984375,4.000000,2.890625,4.000000,3.412242,600080000
2000-02-01,3.968750,4.523438,3.796875,4.390625,3.745470,400636000
2000-03-01,4.390625,5.656250,4.078125,5.601563,4.778471,400131200
2000-04-01,5.023438,5.437500,3.750000,3.779297,3.223969,498413600
2000-05-01,3.875000,4.375000,3.500000,4.250000,3.625507,396386400
2000-06-01,4.265625,4.937500,4.000000,4.773438,4.072032,659726400
2000-07-01,4.750000,5.343750,4.492188,4.687500,3.998720,336964000
2000-08-01,4.683594,5.515625,4.320313,4.578125,3.905417,397544800
2000-09-01,4.781250,5.218750,4.484375,5.007813,4.271966,216478400
2000-10-01,5.015625,5.609375,4.593750,5.585938,4.765141,315918400
2000-11-01,5.539063,6.351563,5.375000,5.695313,4.858447,487753600
2000-12-01,5.781250,5.875000,5.171875,5.531250,4.718492,348287200
2001-01-01,5.490234,6.257813,5.046875,6.242188,5.324963,403068800
2001-02-01,6.171875,6.414063,5.781250,5.953125,5.078375,326197600
2001-03-01,5.937500,6.132813,4.820313,5.304688,4.525220,470802400
2001-04-01,5.320313,5.445313,4.539063,4.837500,4.126680,596036800
2001-05-01,4.837500,5.382500,4.500000,4.880000,4.162934,376932400
2001-06-01,5.000000,5.827500,4.732500,5.750000,4.905097,295074400
2001-07-01,5.622500,5.725000,4.475000,4.510000,3.847303,376518400
2001-08-01,4.532500,4.772500,4.200000,4.217500,3.597783,348419200
2001-09-01,4.215000,4.330000,3.365000,3.735000,3.186180,339334800
2001-10-01,3.700000,4.487500,3.540000,4.280000,3.651098,388806000
2001-11-01,4.287500,4.887500,4.170000,4.430000,3.779058,377239600
2001-12-01,4.407500,4.992500,4.400000,4.762500,4.062701,283647200
2002-01-01,4.777500,5.970000,4.750000,5.942500,5.069313,421235200
2002-02-01,5.962500,5.962500,5.205000,5.752500,4.907231,223217600
2002-03-01,5.890000,6.132500,5.587500,5.782500,4.932822,259958400
2002-04-01,5.767500,6.425000,5.660000,5.705000,4.866710,315412800
2002-05-01,5.712500,6.125000,5.482500,6.070000,5.178077,348659600
2002-06-01,6.075000,6.325000,5.610000,6.212500,5.299639,354891600
2002-07-01,6.105000,6.240000,4.610000,4.907500,4.186393,478584000
2002-08-01,4.880000,5.455000,4.617500,5.025000,4.286629,324012000
2002-09-01,4.997500,5.392500,4.900000,5.165000,4.406056,283456400
2002-10-01,5.165000,6.025000,5.165000,5.960000,5.084240,430960400
2002-11-01,6.012500,6.040000,5.212500,5.435000,4.636384,301813600
2002-12-01,5.500000,5.522500,5.045000,5.095000,4.346342,283226400
2003-01-01,5.117500,5.825000,4.905000,5.680000,4.845384,360126400
2003-02-01,5.667500,5.880000,5.400000,5.862500,5.001067,293963200
2003-03-01,5.905000,6.630000,5.550000,6.440000,5.493709,375890800
2003-04-01,6.452500,6.717500,5.837500,5.877500,5.013864,426204800
2003-05-01,5.855000,6.207500,5.700000,6.167500,5.261251,381653200
2003-06-01,6.140000,6.365000,5.937500,6.137500,5.235658,279097200
2003-07-01,6.237500,6.942500,6.195000,6.832500,5.828537,336760800
2003-08-01,6.850000,7.132500,6.500000,7.097500,6.054599,196262000
2003-09-01,7.022500,7.737500,7.015000,7.200000,6.142035,314559200
2003-10-01,7.260000,8.000000,7.200000,7.900000,6.739178,224384800
2003-11-01,7.840000,8.262500,7.500000,8.042500,6.860738,217008800
2003-12-01,8.020000,8.357500,7.855000,8.290000,7.071870,201372000
2004-01-01,8.362500,9.202500,8.225000,9.152500,7.807638,269614800
2004-02-01,9.205000,9.920000,9.000000,9.350000,7.976115,271877600
2004-03-01,9.472500,9.685000,9.127500,9.467500,8.076351,288346400
2004-04-01,9.535000,9.977500,9.185000,9.730000,8.300278,240294000
2004-05-01,9.705000,10.300000,9.257500,10.150000,8.658562,230995600
2004-06-01,10.175000,11.100000,10.155000,10.872500,9.274899,243623600
2004-07-01,11.162500,12.100000,11.005000,11.747500,10.021330,308100400
2004-08-01,11.717500,11.782500,10.512500,10.810000,9.221584,326506000
2004-09-01,10.747500,11.572500,10.697500,11.365000,9.695033,207210400
2004-10-01,11.492500,13.312500,11.322500,13.220000,11.277459,292142000
2004-11-01,13.230000,14.250000,13.150000,14.065000,11.998295,245271600
2004-12-01,14.082500,16.065001,14.072500,15.590000,13.299212,253791600
2005-01-01,15.822500,15.835000,13.025000,13.500000,11.516316,466645200
2005-02-01,13.540000,13.745000,12.285000,12.952500,11.049268,316263600
2005-03-01,12.972500,13.897500,12.680000,12.915000,11.017275,269286000
2005-04-01,13.057500,13.095000,11.145000,12.380000,10.560889,425663200
2005-05-01,12.475000,13.930000,12.300000,13.697500,11.684793,263134400
2005-06-01,13.730000,14.225000,12.880000,12.915000,11.017275,228436400
2005-07-01,12.932500,13.597500,12.320000,13.137500,11.207082,272621600
2005-08-01,13.137500,13.192500,12.000000,12.257500,10.456389,216531200
2005-09-01,12.450000,12.540000,11.502500,12.525000,10.684583,266210400
2005-10-01,12.577500,14.245000,12.430000,14.140000,12.062277,280288200
2005-11-01,14.150000,16.000000,14.035000,15.225000,12.987845,232694200
2005-12-01,15.170000,16.230000,14.970000,15.005000,12.800174,181387400
2006-01-01,15.285000,16.160000,14.950000,15.850000,13.521010,167365600
2006-02-01,15.640000,18.434999,15.570000,18.160000,15.491578,248202600
2006-03-01,18.165001,19.055000,17.365000,18.815001,16.050331,225956600
2006-04-01,18.990000,19.750000,18.385000,18.635000,15.896783,196322200
2006-05-01,18.815001,19.940001,17.299999,17.825001,15.205797,335908200
2006-06-01,17.745001,19.010000,17.455000,18.879999,16.105783,254581400
2006-07-01,18.980000,19.165001,16.465000,17.115000,14.600130,310443000
2006-08-01,16.995001,16.995001,14.360000,15.505000,13.226705,529827200
2006-09-01,15.805000,17.520000,15.265000,17.025000,14.523356,318108400
2006-10-01,17.075001,19.750000,16.805000,18.875000,16.101517,369074600
2006-11-01,18.995001,20.004999,17.580000,17.645000,15.052255,329611600
2006-12-01,17.625000,18.570000,17.450001,17.709999,15.107705,209947800
2007-01-01,17.799999,18.305000,16.745001,17.469999,14.902966,323527400
2007-02-01,17.565001,17.709999,15.120000,15.450000,13.179783,389013200
2007-03-01,15.100000,16.225000,14.430000,15.680000,13.375989,555995600
2007-04-01,15.770000,16.150000,15.150000,15.510000,13.230968,353030400
2007-05-01,15.580000,15.950000,14.015000,14.405000,12.288333,649586200
2007-06-01,14.400000,14.575000,12.610000,13.120000,11.192158,698635800
2007-07-01,13.200000,14.250000,12.815000,13.340000,11.379827,659410600
2007-08-01,13.255000,14.300000,13.015000,13.775000,11.750906,553500800
2007-09-01,13.835000,14.095000,12.975000,13.100000,11.175091,380038600
2007-10-01,13.135000,13.460000,12.815000,13.340000,11.379827,406501200
2007-11-01,13.200000,13.340000,10.885000,11.695000,9.976543,822870400
2007-12-01,11.615000,11.715000,9.945000,10.235000,8.731074,462595000
2008-01-01,10.070000,10.505000,8.830000,9.455000,8.065688,942918800
2008-02-01,9.485000,9.675000,8.875000,8.990000,7.669013,503130400
2008-03-01,9.010000,9.250000,8.385000,8.750000,7.464281,594697400
2008-04-01,8.915000,9.445000,7.695000,8.115000,6.922585,671062600
2008-05-01,7.980000,9.205000,7.840000,9.095000,7.758586,631945400
2008-06-01,9.085000,9.280000,7.865000,7.870000,6.713587,510214200
2008-07-01,7.780000,8.025000,6.665000,7.345000,6.265730,691960600
2008-08-01,7.450000,8.590000,7.005000,7.780000,6.636811,518177000
2008-09-01,7.980000,8.410000,7.065000,7.435000,6.342506,553293600
2008-10-01,7.280000,7.530000,4.580000,6.565000,5.600343,774586000
2008-11-01,6.335000,6.575000,3.530000,4.465000,3.808913,657481200
2008-12-01,4.315000,5.185000,3.965000,4.730000,4.034976,463529600
2009-01-01,4.705000,5.180000,4.250000,4.720000,4.026446,459950800
2009-02-01,4.630000,5.385000,4.450000,4.575000,3.902751,487465600
2009-03-01,4.490000,6.215000,4.060000,5.555000,4.738750,574769000
2009-04-01,5.495000,7.720000,5.405000,7.230000,6.167629,656683400
2009-05-01,7.210000,7.250000,6.260000,7.195000,6.137770,555559800
2009-06-01,7.285000,7.700000,6.770000,6.945000,5.924505,521311000
2009-07-01,6.990000,8.950000,6.380000,8.850000,7.549588,673380800
2009-08-01,8.990000,9.925000,8.835000,9.495000,8.099806,493708000
2009-09-01,9.490000,10.470000,9.105000,10.325000,8.807848,498955800
2009-10-01,10.270000,10.555000,9.345000,9.490000,8.095544,424346200
2009-11-01,9.490000,11.050000,9.425000,10.950000,9.341013,436812000
2009-12-01,10.975000,11.975000,10.475000,11.530000,9.835787,394275400
2010-01-01,11.660000,12.225000,10.875000,10.895000,9.294098,407390000
2010-02-01,10.995000,11.730000,10.630000,11.455000,9.771808,302432200
2010-03-01,11.465000,13.000000,11.435000,12.135000,10.351889,412470400
2010-04-01,12.270000,13.795000,11.975000,12.990000,11.081253,399500000
2010-05-01,13.010000,13.965000,12.035000,12.945000,11.088611,474235000
2010-06-01,12.875000,14.250000,12.135000,12.150000,10.407619,433620000
2010-07-01,12.215000,13.220000,11.735000,12.425000,10.643185,395435600
2010-08-01,12.510000,12.860000,11.250000,11.490000,9.842267,330390800
2010-09-01,11.590000,13.285000,11.515000,12.775000,11.000540,301178400
2010-10-01,12.945000,14.400000,12.685000,14.280000,12.296495,283694400
2010-11-01,14.340000,15.755000,14.220000,15.300000,13.174821,328044800
2010-12-01,15.505000,16.575001,15.505000,16.065001,13.892214,234405800
2011-01-01,16.245001,16.889999,15.375000,15.765000,13.632786,364016200
2011-02-01,15.880000,17.014999,15.585000,16.490000,14.259730,277619400
2011-03-01,16.615000,19.105000,15.860000,18.475000,16.040260,469021400
2011-04-01,18.625000,18.830000,17.500000,18.100000,15.714678,266349600
2011-05-01,18.240000,18.834999,17.420000,18.395000,15.970803,253114800
2011-06-01,18.270000,19.895000,17.305000,19.745001,17.204117,286897200
2011-07-01,19.809999,20.555000,19.450001,20.045000,17.465515,280018000
2011-08-01,20.219999,20.385000,16.860001,19.309999,16.825100,460331200
2011-09-01,19.420000,21.000000,18.209999,18.645000,16.303387,344016600
