czone,native_wage_change,native_unemploy_rate_change,native_parti_rate_change,employ_share_m_change,card_iv,col_share,manu_share,female_share,x_c.hat,immigration_inflow_ratio
4003,0.163222761,0.016644254,0.022720973,-0.168148717,0.006983198,0.260495101,0.189108737,0.374938855,-0.006487299,0.002755012
4004,0.148606059,-0.013158939,0.009491697,-0.116223194,0.006690306,0.29435337,0.212386157,0.392349727,0.02241697,0.005809268
4101,0.209872902,0.278310726,-0.04288374,-0.464058012,-0.003127989,0.222121074,0.314974966,0.391442877,-0.04282012,0.02974668
4102,0.148931076,0.42425724,-5.59E-04,-0.25199808,0.005820509,0.25960333,0.267874226,0.387496845,6.82E-04,0.017550522
4103,0.202219881,0.087279892,-0.019822415,-0.222808428,0.00198401,0.281354316,0.327610873,0.406771578,0.012705972,0.01374483
4200,0.217064493,0.342415599,-0.011910606,-0.213007997,0.010944376,0.367172082,0.19476093,0.436134803,0.114997234,0.053429117
4301,0.20040644,0.246922551,0.003838323,-0.321787168,0.010709608,0.24995922,0.283455196,0.402123428,0.034976603,0.00980162
4302,0.224863859,-0.17170476,0.026508581,-0.377502751,-0.001993242,0.220731707,0.261280488,0.40945122,-0.013924846,0.01370529
4401,0.070313451,-0.10699656,2.37E-04,-0.192938804,0.004700632,0.20678528,0.158558649,0.357120041,-0.051442066,0.002459218
4402,0.267297876,-0.025478103,-0.02201884,-0.161558733,0.006763822,0.239463034,0.243902294,0.390437545,0.003519191,0.021194706
4501,0.076016221,-0.135866432,-0.006475151,-0.122652343,0.001751448,0.223953122,0.114974133,0.335335978,-0.083501726,0.005266173
4502,-0.036476295,-0.224937892,-0.025474769,-0.12869131,-0.007634246,0.228415402,0.07029969,0.32213124,-0.134162418,0.002561505
4601,0.155393611,-0.428800845,-0.017444028,-0.288411693,0.003966063,0.164017585,0.324653365,0.404125803,-0.015464858,0.016116447
4602,0.157782726,-0.2992393,0.003588176,-0.232604841,0.005093589,0.162912948,0.31956104,0.399386696,-0.016921949,0.015947988
4701,0.151684381,0.075878012,-3.86E-04,-0.196714832,0.007787193,0.272532189,0.278540773,0.443776824,0.081548018,0.007998204
4702,0.237443376,0.346508644,0.016888944,-0.244022963,0.007232759,0.250811095,0.282766175,0.416938471,0.039734822,0.012596597
4800,0.235906506,0.44957957,0.002745384,-0.223084858,0.008913042,0.337171644,0.195034185,0.447283195,0.112278403,0.003829865
4901,0.26003452,0.141604559,8.35E-04,-0.13037739,0.006347975,0.213536307,0.371922638,0.429487868,0.037325696,0.035823726
4902,0.224875478,0.184663791,0.003364314,-0.121507317,0.006685564,0.190892189,0.360056813,0.418086996,0.018697944,0.01369584
4903,0.104523204,0.199174681,-0.030328545,-0.252282232,0.006620538,0.214524992,0.368876301,0.42679639,0.035488482,0.00952908
5000,0.314465271,0.408978723,0.028089599,-0.084943116,0.011532368,0.261396912,0.396683199,0.44312808,0.087311068,0.022463911
5100,0.141880817,0.052492985,-0.034094467,-0.203586179,0.002413537,0.219299126,0.384813626,0.430241403,0.023574714,0.014698071
5201,0.295709724,0.248380099,0.001233586,-0.258123401,0.009623394,0.241747029,0.398195323,0.436133486,0.065414263,0.040383423
5202,0.241000726,0.189063384,-0.00421272,-0.159172328,0.009249197,0.36329088,0.195459305,0.43533863,0.106111575,0.075283178
5300,0.21148369,0.174459554,-0.001152855,-0.298005525,0.006123065,0.23499139,0.250883736,0.400820533,0.012277017,9.86E-04
5401,0.253885501,-0.149270158,-0.008487751,-0.101172293,0.007510623,0.298169142,0.310191976,0.435824821,0.076356807,0.067576575
5402,0.23604469,-0.105820279,0.010405755,-0.138418731,0.005624555,0.154900185,0.30866648,0.404692004,-0.009977767,0.022864993
5500,0.17683109,0.212240738,-0.016330006,-0.272177589,0.004642976,0.180097087,0.431796117,0.414805825,2.25E-04,0.064487104
5600,0.229123487,0.21571063,-0.006186236,-0.160926702,0.00983619,0.348867756,0.228585324,0.4376378,0.105782674,0.131663009
5700,0.256924835,0.003217079,0.016121546,-0.091688698,0.004164277,0.216113744,0.338862559,0.402843602,-0.002272393,0.049068954
5800,0.152847283,0.130080117,-0.029886126,-0.21387712,0.006024091,0.248130728,0.338702674,0.406269835,0.018410806,0.02303567
5900,0.191264112,-0.03540252,0.021387863,0.025658674,0.008710729,0.275082983,0.223697545,0.377769383,0.006482293,0.053664322
6000,0.237959165,-0.117380232,0.015460558,-0.130074218,0.00928601,0.339644973,0.291305885,0.407063933,0.060246296,0.071014126
6100,0.08703874,-0.047507232,-0.012108563,-0.162557516,0.005697455,0.256811704,0.370782644,0.379866569,-0.014660489,0.043204932
6200,0.082061112,-0.076800146,-0.01500558,-0.211333063,0.005797037,0.232686142,0.368968099,0.391492011,-0.006526036,0.011650975
6301,0.138404696,0.163468485,-0.019596635,-0.247730944,0.00558941,0.212485514,0.397445601,0.42839419,0.031500779,0.026249786
6302,0.13598391,0.063492145,-0.01887327,-0.241688105,0.005651929,0.196863892,0.392471887,0.42691377,0.025749666,0.032082725
6401,0.157764926,0.106699868,-0.017493685,-0.195661028,0.005568196,0.321862934,0.296066446,0.417572938,0.053221937,0.044846366
6402,0.125388672,-0.026490961,-0.021558754,-0.175157474,0.007584318,0.178108027,0.382760388,0.415470435,0.014439995,0.034400626
6501,0.061657436,0.11987368,-0.039864872,-0.516759005,0.009797276,0.20625,0.447395833,0.421354167,0.035602763,0.097392941
6502,0.132955048,0.065226209,-0.019656555,-0.136353337,0.009012531,0.218126328,0.381671568,0.406522963,0.020328384,0.052410685
6600,0.213175674,0.269629255,-0.009207002,-0.314982518,0.008143038,0.20543838,0.437163306,0.431726639,0.042092526,0.164285802
6700,0.335089362,0.215541702,0.022783866,-0.224802376,0.014627432,0.370759169,0.137021483,0.437651503,0.135189264,0.267170561
6800,0.261817801,0.219627555,0.015923258,-0.303511862,0.021089842,0.28688001,0.146655953,0.405369624,0.096977836,0.307688066
6900,0.325458129,0.245312797,0.039569547,-0.183574073,0.011350335,0.341904312,0.107636639,0.44403677,0.123225132,0.296416468
7000,0.265756776,0.406173241,0.006984954,-0.443253729,0.027231876,0.406463367,0.131902926,0.442883928,0.202323635,0.59472277
7100,0.328455208,0.497409553,0.019711679,-0.26301323,0.018125471,0.377472808,0.124259041,0.427859704,0.139475134,0.60879134
7200,0.432371525,0.229293865,0.047110732,-0.13800803,0.013130281,0.30159034,0.070041177,0.432739458,0.10668032,0.813664403
7300,0.269325444,0.215346316,0.016388747,-0.124189971,0.012149881,0.408498451,0.196990291,0.411445698,0.100676998,0.17916848
7400,0.341269422,0.472290738,0.01983442,-0.246859375,0.013844433,0.371017418,0.126884466,0.430516938,0.12372956,0.655842331
7500,0.34134742,0.072546492,0.037769624,-0.137906984,0.007386666,0.361228131,0.122169544,0.432408052,0.097723312,0.216696607
7600,0.274442992,0.223535701,0.010142013,-0.148994431,0.011129487,0.355613826,0.11878663,0.417905069,0.093260471,0.156271542
7700,0.248218369,0.142391022,0.020087514,-0.297501326,0.008807989,0.262495081,0.205824479,0.402203857,0.034461632,0.067284262
7800,0.325051894,0.161891517,0.048212474,0.109442413,0.012563321,0.272440589,0.118991677,0.415729287,0.072931644,0.220056799
7900,0.288638408,0.151836573,0.027984074,-0.213381881,0.014454225,0.494269411,0.093904046,0.445508063,0.18084971,0.13365648
8000,0.259857709,0.284816087,0.022265945,-0.158294826,0.010740434,0.260534125,0.336498516,0.420474777,0.058475747,0.033585501
8100,0.241142469,0.320505884,-0.003714829,-0.178815384,0.008645802,0.401280951,0.227499198,0.444681874,0.124530246,0.05357982
8201,0.188466883,0.374286274,-0.01670459,-0.246607333,0.004985197,0.291953689,0.304779121,0.434850996,0.063549289,0.001964948
8202,0.20641024,-0.019721446,0.004809263,-0.20168398,0.009823854,0.363476423,0.179571514,0.410530528,0.078380616,0.053819197
8300,0.209657228,0.600167417,-0.01450774,-0.226425221,0.006206842,0.284918233,0.419683512,0.433801066,0.060022023,0.087338303
8401,0.268162894,0.399569281,-0.014210394,-0.225303398,0.009183199,0.296018498,0.292931425,0.433397945,0.080198244,0.035880614
8402,0.197135417,0.442780622,-0.09218192,-0.551293603,0.00703768,0.212864842,0.358278342,0.426945841,0.03734884,0.007234486
8501,0.179974243,0.310428423,-0.036901543,-0.449622056,0.009806215,0.245683555,0.257854515,0.417209171,0.05003164,0.07700813
8502,0.173346844,0.015143774,-0.046529951,-0.432988013,0.011739952,0.246038039,0.284585585,0.424494422,0.065709361,0.027905833
8503,0.231546629,0.294366831,-0.001855706,-0.332625762,0.010389617,0.24026601,0.263695359,0.41967537,0.053642823,0.078359305
8601,0.29228913,-0.110865746,0.001149379,-0.382636148,0.005638295,0.203694931,0.268593084,0.405968735,0.007151039,0.040171742
8602,0.250325226,-0.135442872,0.03978542,-0.258835028,0.008179188,0.257460296,0.218102529,0.386246138,0.010180419,0.056366991
8701,0.283727346,0.336197959,0.018756283,-0.285703105,0.008044817,0.253274047,0.241754794,0.400023156,0.024510463,0.090943917
8702,0.239870997,0.438018918,-0.013679089,-0.366276981,0.007501056,0.236644946,0.299334265,0.41944138,0.03919653,0.063801251
8800,0.222990295,-0.113976733,-0.003931488,-0.347004086,0.007736163,0.333924268,0.171775006,0.420214339,0.074105081,0.114637991
8900,0.206252743,0.46041966,-0.01548447,-0.201669912,0.007456289,0.2943268,0.199599027,0.425154621,0.066757803,0.036416489
9001,0.215508782,0.012555394,-0.059682227,-0.485550202,0.010637559,0.230914974,0.295841986,0.426173493,0.058637714,0.048595726
9002,0.291683458,7.51E-04,-0.010538496,-0.248092171,0.013556918,0.218537859,0.322976501,0.437597911,0.079800328,0.019377463
9003,0.258137379,0.065480576,-0.016250902,-0.250316303,0.013646672,0.218537859,0.322976501,0.437597911,0.080159128,0.024459758
9100,0.302392612,0.370202892,-0.001121124,-0.232101009,0.011765815,0.423315311,0.190117638,0.443820214,0.143789383,0.386381331
9200,0.221355544,0.451040498,0.003343098,-0.338545418,0.010386118,0.234531392,0.33166515,0.420382166,0.049859942,0.056957185
9301,0.257535695,0.204048025,0.01606963,-0.343423693,0.010969406,0.370010627,0.28494444,0.443516082,0.121026965,0.14445985
9302,0.275780835,-0.001877618,-0.004992098,-0.351183725,0.009635985,0.207075394,0.416181335,0.433467012,0.051617588,0.03222116
9400,0.283306395,0.279133411,0.009592356,-0.423126121,0.007688385,0.264721476,0.349256574,0.428740435,0.057139321,0.304166853
9500,0.167248764,0.27947403,-0.027353175,-0.294047468,0.00395737,0.203648803,0.483466363,0.433523375,0.025019149,0.019679677
9600,0.274489692,0.211564039,0.005945264,-0.146450699,0.008731684,0.247462527,0.369709352,0.422503878,0.047810566,0.070718083
9701,0.236904669,0.135323578,7.13E-06,-0.211469924,0.007649586,0.328780434,0.237683371,0.424858082,0.075134284,0.015904783
9702,0.24081733,0.123862625,0.02795493,-0.202940888,0.01148807,0.253595761,0.274034822,0.420893263,0.062826081,0.027956513
9800,0.233645458,-0.022801496,0.007575557,-0.173776185,0.010500745,0.325147815,0.283669928,0.433599569,0.094307355,0.071092764
9900,0.308444401,0.128604845,0.021229028,-0.227114019,0.012373157,0.429837412,0.085827415,0.451234826,0.161909344,0.080039034
10000,0.268111167,0.202344928,0.047326784,-0.210431188,0.008188555,0.308363723,0.124357596,0.405582839,0.052695889,0.094767593
10101,0.280700438,0.134436721,-0.052689387,-0.582498844,-0.005075458,0.215059309,0.290871583,0.431150077,-0.002229636,0.026731554
10102,0.287877132,0.138800168,-0.044132952,-0.550194018,-0.005075593,0.215059309,0.290871583,0.431150077,-0.002230178,0.029713401
10200,0.197603071,0.335004583,-0.017554151,-0.410332534,0.005529312,0.292709956,0.244712865,0.432445085,0.065633798,0.031202514
10301,0.179735007,0.242196718,-0.022982948,-0.334617978,0.008395878,0.257630111,0.270616922,0.41949927,0.050019934,0.039433925
10302,0.245119047,0.011622924,0.0260137,-0.164366476,0.007914202,0.2910492,0.253902391,0.410195614,0.046676499,0.020922988
10400,0.232513402,0.22912497,8.66E-04,-0.322434102,0.009689106,0.303808021,0.265008255,0.429394556,0.080686169,0.012941315
10501,0.198555719,0.132582732,-0.018520281,-0.200130191,0.007806015,0.299018905,0.329923145,0.415438893,0.051593371,0.008968744
10502,0.13716356,0.15273895,2.75E-04,-0.144960094,0.009708142,0.335214072,0.315300365,0.422502489,0.078779221,0.022278717
10600,0.075880731,-0.248438023,-0.010460976,-0.18936451,0.0083145,0.210069013,0.304121276,0.366117959,-0.031407839,0.036335683
10700,0.156981185,0.00544912,0.002363369,-0.123770767,0.008520133,0.371299011,0.21313158,0.412742752,0.076611647,0.044557008
10801,0.223352735,-0.153401208,-0.035805388,-0.292980718,0.011030306,0.321450808,0.248775359,0.419274427,0.079165763,0.024417627
10802,0.176303434,-0.143705841,-0.0195922,-0.237177749,0.002218523,0.236882925,0.367870931,0.405404645,-0.002336911,0.012858372
10900,0.249607196,0.166551488,0.018694587,-0.166952623,0.009599675,0.373709158,0.11194917,0.397899867,0.06770165,0.069123702
11001,0.104000677,0.016072366,-0.007058694,-0.220725626,0.01055629,0.31703089,0.225956823,0.39455798,0.046372968,0.034100571
11002,0.122795884,-0.628066915,-0.096412817,-0.427087136,0.004817052,0.271090119,0.301112415,0.396348677,0.009397154,0.001701169
11101,0.231674378,0.216347621,0.010921479,-0.084491378,0.00630736,0.377253652,0.166285753,0.438192914,0.103117033,0.024103388
11102,0.209415943,0.015660692,-0.013679151,-0.2431397,0.007500709,0.285457027,0.251262328,0.430958933,0.069341322,0.023460847
11201,-0.030479687,-0.055728744,-0.010192521,-0.320533857,0.00890167,0.24462003,0.158816791,0.349880719,-0.033022199,0.008263524
11202,-0.283831505,-0.392229394,-0.113082597,-0.152340501,-0.002777,0.23203125,0.05078125,0.312109375,-0.125296456,-2.06E-04
11203,-0.035758628,-0.094976209,-0.047145383,-0.516744029,-0.012181384,0.203622393,0.166300768,0.324368825,-0.160811881,0.004348302
11301,0.453397855,0.171436957,0.082614877,-0.099554721,0.006550077,0.307255776,0.120794487,0.410214836,0.051742891,0.232750206
11302,0.285537741,0.141029785,-0.004915608,-0.251336545,0.010437554,0.363992989,0.186503631,0.428094483,0.102468408,0.094244294
11303,0.200624365,-0.116652334,0.026885572,-0.41100385,0.004297324,0.236227045,0.214106845,0.415692821,0.025426496,0.057856875
11304,0.355407655,0.357900939,1.26E-04,-0.234149358,0.014998382,0.526117402,0.062713639,0.452343568,0.201843408,0.325073388
11401,0.121094133,-0.276539695,0.001375526,-0.103568071,0.006831861,0.347321917,0.159461582,0.363230513,0.004077381,-0.001892716
11402,0.180004833,-0.230480551,0.011972393,-0.027256894,0.007610833,0.296952566,0.266292047,0.39403123,0.026505671,0.010474887
11403,0.271856618,-0.310065496,0.040581455,-0.100632673,6.04E-04,0.306878307,0.167724868,0.361375661,-0.034844458,0.002262166
11500,0.086372619,-0.109476533,-0.021595435,-0.10213475,0.009435542,0.317592113,0.358069537,0.394049472,0.035517839,0.019885914
11600,0.061542932,-0.072646918,-0.007755011,-0.092756869,0.007615337,0.374510429,0.341962136,0.40691769,0.060911951,0.050657008
11700,0.175529837,0.213979484,-0.003839608,-0.182659761,0.012339118,0.455686854,0.214496729,0.435956953,0.144321359,0.036525295
11800,0.00617605,-0.034469423,0.026231208,-0.224376733,0.005808628,0.383943795,0.258169596,0.396250308,0.046841206,0.007840817
11900,0.002822333,-0.361397528,-0.001830549,-0.095048338,0.010988766,0.296586756,0.325534545,0.395588688,0.039193339,0.00673536
12001,0.159309895,-0.19366602,0.021038677,-0.06049005,0.00929844,0.322198468,0.263828191,0.396352832,0.04333138,0.015577707
12002,0.173738699,-0.237739802,0.021301195,-0.083942906,0.008219103,0.324970184,0.25517039,0.39757705,0.041700928,0.01165781
12100,0.112442626,0.085734182,-0.007196673,-0.115704861,0.00902303,0.382546597,0.329310358,0.424306624,0.090942522,0.032419563
12200,0.122454781,0.066743103,-0.001830754,-0.094895347,0.009033633,0.336465962,0.346824589,0.409217691,0.058538023,0.069265779
12301,0.214369309,-0.355942719,0.015008566,-0.027397335,0.0034937,0.33745541,0.216171225,0.403091558,0.034902139,0.013585197
12302,0.151583635,-0.237529819,0.002882136,-0.056414425,0.003813452,0.317590126,0.210811305,0.397138985,0.023454662,0.006888142
12401,0.10090253,-0.198815955,-6.96E-04,-0.097054301,0.005066206,0.266809222,0.207896591,0.380991515,-0.005705073,-0.004001794
12402,0.123864069,-0.200771039,0.009390151,-0.057178343,0.005216711,0.264681815,0.21150153,0.37999331,-0.007100614,4.84E-04
12501,0.111930875,-0.057973647,-0.00510178,-0.079905571,0.008373422,0.323386179,0.313871048,0.411530631,0.056569204,0.017204028
12502,0.117900883,-0.165579423,-0.029021211,-0.211331514,0.006229723,0.209513964,0.316212046,0.373330309,-0.031486424,0.011040445
12600,0.153219556,-0.344551016,-0.007273956,-0.138572434,0.008064194,0.203649397,0.39850114,0.396220267,-0.001065831,0.00875843
12701,0.164113305,0.120523597,-4.98E-04,-0.104202229,0.007977779,0.341551582,0.297184707,0.411408897,0.060681844,0.041552267
12702,0.234145147,-0.188442318,-0.019233657,-0.165442926,0.003202391,0.216563541,0.25368872,0.386006663,-0.023083529,0.008157474
12800,0.156830635,-0.142056704,-0.005378094,-0.130156875,0.008047076,0.20814024,0.377835824,0.395621054,3.06E-04,0.007387954
12901,0.18507257,0.261392578,0.005416554,-0.093275317,0.011424208,0.378095185,0.206571129,0.431297678,0.113451082,0.074939622
12902,0.241150254,-0.175066666,-0.011070191,-0.129576021,0.003202188,0.216563541,0.25368872,0.386006663,-0.023084343,0.009866688
12903,0.223996236,0.080955067,-0.031529501,-0.161956767,0.007077181,0.261788268,0.25595656,0.407351899,0.031494155,0.022681965
13000,0.268775351,0.011540831,0.02568804,-0.05648614,0.00913571,0.241581816,0.205439044,0.351420852,-0.033110629,0.018253902
13101,0.160716108,-0.007852042,-0.005682008,-0.145392261,0.010401968,0.314997948,0.270299472,0.419049596,0.073601765,0.046198953
13102,0.220246347,-0.091226833,0.018272038,-0.138509545,0.007591987,0.211916349,0.331953029,0.390823225,-0.004358365,0.022800205
13103,0.296185414,0.010876713,-0.004503508,-0.020405314,-3.20E-04,0.181723238,0.322193211,0.380678851,-0.05661893,0.014578996
13200,0.107721526,-0.037755772,-0.010340446,-0.087267423,0.007403001,0.236261878,0.24721482,0.386432391,5.68E-05,0.0183604
13300,0.094088528,-0.160188633,-0.006965016,-0.061457039,0.008277719,0.241852186,0.379843436,0.394379324,0.009061878,0.010670982
13400,0.113117949,-0.144827798,-0.013619898,-0.078275035,0.011234578,0.231503293,0.391367403,0.403313164,0.028550009,0.002934227
13501,0.083179763,-0.161671254,-0.010220074,-0.08039574,0.012188427,0.334075883,0.306656585,0.4051969,0.067282551,0.011653525
13502,0.116624546,-0.114701138,0.002880214,-0.038865915,0.01982781,0.22124927,0.41476941,0.384121424,0.035158795,0.00112944
13600,0.128688119,-0.109141345,-0.001913233,-0.091734677,0.010948345,0.294835367,0.348239293,0.410789921,0.056392506,0.035174128
13700,0.171810556,-0.264437899,0.011675591,-0.109167028,0.010517317,0.244546717,0.43499817,0.415638928,0.042693578,0.099223046
13800,0.204903995,-0.048415933,-0.007328693,-0.108061034,0.008970429,0.224303987,0.376944554,0.402740948,0.017411667,0.053562172
13900,0.07456799,-0.295562837,-0.032695811,-0.148648037,0.009525253,0.239897735,0.420949495,0.411712793,0.033177184,0.01788991
14000,0.04084399,-0.272415181,-0.01026326,-0.096596421,0.010959226,0.247834341,0.398317034,0.41090832,0.041150372,0.008796463
14100,0.124440922,-0.09927826,0.005048931,-0.077823217,0.011267674,0.300045742,0.342191915,0.415859333,0.065693793,0.034312535
14200,0.184865283,0.218222822,-0.001067695,-0.118592609,0.008654455,0.331791791,0.264270848,0.430793261,0.086175484,0.080922076
14300,0.107036702,-0.064919047,9.22E-06,-0.100133675,0.012193361,0.236188082,0.391031217,0.400933493,0.030759658,0.050327837
14400,0.164360744,0.020341032,-0.002414249,-0.062483326,0.008546395,0.284654081,0.284639318,0.400156377,0.033575378,0.013264869
14500,0.177086614,0.382815183,8.84E-04,-0.114679134,0.012796266,0.317014045,0.283870304,0.406535984,0.067602087,0.060997201
